JUGADOR;PARTIDO;LLAVE;EQUIPO 1;EQUIPO 2;GOLES 1;GOLES 2;RESULTADO
JMS;103;ESPAÑA-BRASIL;ESPAÑA;BRASIL;2;2;EMPATE
JMS;104;FRANCIA-ARGENTINA;FRANCIA;ARGENTINA;2;4;ARGENTINA
NA;73;SUDÁFRICA-CANADÁ;SUDÁFRICA;CANADÁ;2;1;SUDÁFRICA
NA;74;ALEMANIA-PARAGUAY;ALEMANIA;PARAGUAY;3;1;ALEMANIA
NA;75;HOLANDA-MARRUECOS;HOLANDA;MARRUECOS;1;0;HOLANDA
NA;76;BRASIL-JAPÓN;BRASIL;JAPÓN;0;1;JAPÓN
NA;77;FRANCIA-SUECIA;FRANCIA;SUECIA;2;1;FRANCIA
NA;78;COSTA DE M-NORUEGA;COSTA DE M;NORUEGA;1;3;NORUEGA
NA;79;MÉXICO-ECUADOR;MÉXICO;ECUADOR;2;1;MÉXICO
NA;80;INGLATERRA-RD CONGO;INGLATERRA;RD CONGO;2;0;INGLATERRA
NA;81;USA-BOS Y HERZ;USA;BOS Y HERZ;2;0;USA
NA;82;BÉLGICA-SENEGAL;BÉLGICA;SENEGAL;3;1;BÉLGICA
NA;83;PORTUGAL-CROACIA;PORTUGAL;CROACIA;1;2;CROACIA
NA;84;ESPAÑA-AUSTRIA;ESPAÑA;AUSTRIA;3;0;ESPAÑA
NA;85;SUIZA-ARGELIA;SUIZA;ARGELIA;1;0;SUIZA
NA;86;ARGENTINA-CABO VERDE;ARGENTINA;CABO VERDE;3;1;ARGENTINA
NA;87;COLOMBIA-GHANA;COLOMBIA;GHANA;1;0;COLOMBIA
NA;88;AUSTRALIA-EGIPTO;AUSTRALIA;EGIPTO;2;0;AUSTRALIA
NA;89;ALEMANIA-FRANCIA;ALEMANIA;FRANCIA;1;2;FRANCIA
NA;90;SUDÁFRICA-HOLANDA;SUDÁFRICA;HOLANDA;1;2;HOLANDA
NA;91;BRASIL-NORUEGA;BRASIL;NORUEGA;1;2;NORUEGA
NA;92;MÉXICO-INGLATERRA;MÉXICO;INGLATERRA;1;2;INGLATERRA
NA;93;ESPAÑA-CROACIA;ESPAÑA;CROACIA;1;0;ESPAÑA
NA;94;BÉLGICA-USA;BÉLGICA;USA;1;0;BÉLGICA
NA;95;AUSTRALIA-ARGENTINA;AUSTRALIA;ARGENTINA;1;2;ARGENTINA
NA;96;SUIZA-COLOMBIA;SUIZA;COLOMBIA;0;1;COLOMBIA
NA;97;HOLANDA-FRANCIA;HOLANDA;FRANCIA;2;3;FRANCIA
NA;98;ESPAÑA-BÉLGICA;ESPAÑA;BÉLGICA;2;1;ESPAÑA
NA;99;NORUEGA-INGLATERRA;NORUEGA;INGLATERRA;1;0;NORUEGA
NA;100;ARGENTINA-COLOMBIA;ARGENTINA;COLOMBIA;3;1;ARGENTINA
NA;101;FRANCIA-ESPAÑA;FRANCIA;ESPAÑA;2;1;FRANCIA
NA;102;NORUEGA-ARGENTINA;NORUEGA;ARGENTINA;2;3;ARGENTINA
NA;103;NORUEGA-ESPAÑA;NORUEGA;ESPAÑA;1;2;ESPAÑA
NA;104;FRANCIA-ARGENTINA;FRANCIA;ARGENTINA;2;3;ARGENTINA
JPS;73;SUDÁFRICA-CANADÁ;SUDÁFRICA;CANADÁ;0;1;CANADÁ
JPS;74;ALEMANIA-PARAGUAY;ALEMANIA;PARAGUAY;2;1;ALEMANIA
JPS;75;HOLANDA-MARRUECOS;HOLANDA;MARRUECOS;1;0;HOLANDA
JPS;76;BRASIL-JAPÓN;BRASIL;JAPÓN;2;0;BRASIL
JPS;77;FRANCIA-SUECIA;FRANCIA;SUECIA;2;1;FRANCIA
JPS;78;COSTA DE M-NORUEGA;COSTA DE M;NORUEGA;1;2;NORUEGA
JPS;79;MÉXICO-ECUADOR;MÉXICO;ECUADOR;1;0;MÉXICO
JPS;80;INGLATERRA-RD CONGO;INGLATERRA;RD CONGO;2;0;INGLATERRA
JPS;81;USA-BOS Y HERZ;USA;BOS Y HERZ;1;0;USA
JPS;82;BÉLGICA-SENEGAL;BÉLGICA;SENEGAL;1;0;BÉLGICA
JPS;83;PORTUGAL-CROACIA;PORTUGAL;CROACIA;2;1;PORTUGAL
JPS;84;ESPAÑA-AUSTRIA;ESPAÑA;AUSTRIA;1;0;ESPAÑA
JPS;85;SUIZA-ARGELIA;SUIZA;ARGELIA;1;0;SUIZA
JPS;86;ARGENTINA-CABO VERDE;ARGENTINA;CABO VERDE;3;0;ARGENTINA
JPS;87;COLOMBIA-GHANA;COLOMBIA;GHANA;2;0;COLOMBIA
JPS;88;AUSTRALIA-EGIPTO;AUSTRALIA;EGIPTO;1;0;AUSTRALIA
JPS;89;ALEMANIA-FRANCIA;ALEMANIA;FRANCIA;1;2;FRANCIA
JPS;90;HOLANDA-CANADÁ;HOLANDA;CANADÁ;1;0;HOLANDA
JPS;91;BRASIL-NORUEGA;BRASIL;NORUEGA;2;1;BRASIL
JPS;92;MÉXICO-INGLATERRA;MÉXICO;INGLATERRA;1;2;INGLATERRA
JPS;93;ESPAÑA-PORTUGAL;ESPAÑA;PORTUGAL;1;2;PORTUGAL
JPS;94;BÉLGICA-USA;BÉLGICA;USA;0;1;USA
JPS;95;ARGENTINA-AUSTRALIA;ARGENTINA;AUSTRALIA;3;1;ARGENTINA
JPS;96;SUIZA-COLOMBIA;SUIZA;COLOMBIA;1;2;COLOMBIA
JPS;97;HOLANDA-FRANCIA;HOLANDA;FRANCIA;1;2;FRANCIA
JPS;98;USA-PORTUGAL;USA;PORTUGAL;1;2;PORTUGAL
JPS;99;BRASIL-INGLATERRA;BRASIL;INGLATERRA;2;1;BRASIL
JPS;100;ARGENTINA-COLOMBIA;ARGENTINA;COLOMBIA;2;1;ARGENTINA
JPS;101;PORTUGAL-FRANCIA;PORTUGAL;FRANCIA;2;1;PORTUGAL
JPS;102;BRASIL-ARGENTINA;BRASIL;ARGENTINA;1;2;ARGENTINA
JPS;103;BRASIL-FRANCIA;BRASIL;FRANCIA;1;2;FRANCIA
JPS;104;PORTUGAL-ARGENTINA;PORTUGAL;ARGENTINA;1;2;ARGENTINA
DB;73;SUDÁFRICA-CANADÁ;SUDÁFRICA;CANADÁ;1;2;CANADÁ
DB;74;ALEMANIA-PARAGUAY;ALEMANIA;PARAGUAY;3;0;ALEMANIA
DB;75;HOLANDA-MARRUECOS;HOLANDA;MARRUECOS;3;1;HOLANDA
DB;76;BRASIL-JAPÓN;BRASIL;JAPÓN;2;1;BRASIL
DB;77;FRANCIA-SUECIA;FRANCIA;SUECIA;3;1;FRANCIA
DB;78;COSTA DE M.-NORUEGA;COSTA DE M.;NORUEGA;1;3;NORUEGA
DB;79;MÉXICO-ECUADOR;MÉXICO;ECUADOR;2;0;MÉXICO
DB;80;INGLATERRA-RD CONGO;INGLATERRA;RD CONGO;2;0;INGLATERRA
DB;81;USA-BOS Y HERZ;USA;BOS Y HERZ;2;1;USA
DB;82;BÉLGICA-SENEGAL;BÉLGICA;SENEGAL;1;2;SENEGAL
DB;83;PORTUGAL-CROACIA;PORTUGAL;CROACIA;1;2;CROACIA
DB;84;ESPAÑA-AUSTRIA;ESPAÑA;AUSTRIA;2;1;ESPAÑA
DB;85;SUIZA-ARGELIA;SUIZA;ARGELIA;2;1;SUIZA
DB;86;ARGENTINA-CABO VERDE;ARGENTINA;CABO VERDE;3;0;ARGENTINA
DB;87;COLOMBIA-GHANA;COLOMBIA;GHANA;2;1;COLOMBIA
DB;88;AUSTRALIA-EGIPTO;AUSTRALIA;EGIPTO;1;2;EGIPTO
DB;89;ALEMANIA-FRANCIA;ALEMANIA;FRANCIA;2;3;FRANCIA
DB;90;CANADÁ-HOLANDA;CANADÁ;HOLANDA;1;2;HOLANDA
DB;91;BRASIL-NORUEGA;BRASIL;NORUEGA;3;2;BRASIL
DB;92;MÉXICO-INGLATERRA;MÉXICO;INGLATERRA;2;1;MÉXICO
DB;93;ESPAÑA-CROACIA;ESPAÑA;CROACIA;2;1;ESPAÑA
DB;94;SENEGAL-USA;SENEGAL;USA;1;2;USA
DB;95;EGIPTO-ARGENTINA;EGIPTO;ARGENTINA;0;3;ARGENTINA
DB;96;SUIZA-COLOMBIA;SUIZA;COLOMBIA;1;2;COLOMBIA
DB;97;HOLANDA-FRANCIA;HOLANDA;FRANCIA;2;3;FRANCIA
DB;98;ESPAÑA-USA;ESPAÑA;USA;3;1;ESPAÑA
DB;99;BRASIL-MÉXICO;BRASIL;MÉXICO;2;1;BRASIL
DB;100;ARGENTINA-COLOMBIA;ARGENTINA;COLOMBIA;3;1;ARGENTINA
DB;101;FRANCIA-ESPAÑA;FRANCIA;ESPAÑA;1;2;ESPAÑA
DB;102;BRASIL-ARGENTINA;BRASIL;ARGENTINA;1;2;ARGENTINA
DB;103;FRANCIA-BRASIL;FRANCIA;BRASIL;3;1;FRANCIA
DB;104;ARGENTINA-ESPAÑA;ARGENTINA;ESPAÑA;3;2;ARGENTINA
TI;74;ALEMANIA-PARAGUAY;ALEMANIA;PARAGUAY;3;1;ALEMANIA
TI;75;HOLANDA-MARRUECOS;HOLANDA;MARRUECOS;2;1;HOLANDA
TI;76;BRASIL-JAPÓN;BRASIL;JAPÓN;2;1;BRASIL
TI;77;FRANCIA-SUECIA;FRANCIA;SUECIA;3;0;FRANCIA
TI;78;COSTA DE M-NORUEGA;COSTA DE M;NORUEGA;1;2;NORUEGA
TI;79;MÉXICO-ECUADOR;MÉXICO;ECUADOR;0;1;ECUADOR
TI;80;INGLATERRA-RD CONGO;INGLATERRA;RD CONGO;2;0;INGLATERRA
TI;81;USA-BOS Y HERZ;USA;BOS Y HERZ;3;0;USA
TI;82;BÉLGICA-SENEGAL;BÉLGICA;SENEGAL;1;0;BÉLGICA
TI;83;PORTUGAL-CROACIA;PORTUGAL;CROACIA;1;0;PORTUGAL
TI;84;ESPAÑA-AUSTRIA;ESPAÑA;AUSTRIA;2;0;ESPAÑA
TI;85;SUIZA-ARGELIA;SUIZA;ARGELIA;1;0;SUIZA
TI;86;ARGENTINA-CABO VERDE;ARGENTINA;CABO VERDE;3;0;ARGENTINA
TI;87;COLOMBIA-GHANA;COLOMBIA;GHANA;1;1;EMPATE
TI;88;AUSTRALIA-EGIPTO;AUSTRALIA;EGIPTO;1;1;EMPATE
TI;89;ALEMANIA-FRANCIA;ALEMANIA;FRANCIA;1;2;FRANCIA
TI;90;HOLANDA-SIN EQUIPO;HOLANDA;SIN EQUIPO;2;0;HOLANDA
TI;91;BRASIL-NORUEGA;BRASIL;NORUEGA;2;2;EMPATE
TI;92;ECUADOR-INGLATERRA;ECUADOR;INGLATERRA;1;3;INGLATERRA
TI;93;ESPAÑA-PORTUGAL;ESPAÑA;PORTUGAL;0;0;EMPATE
TI;94;BÉLGICA-USA;BÉLGICA;USA;0;1;USA
TI;95;AUSTRALIA-ARGENTINA;AUSTRALIA;ARGENTINA;1;1;EMPATE
TI;96;SUIZA-COLOMBIA;SUIZA;COLOMBIA;0;1;COLOMBIA
TI;97;HOLANDA-FRANCIA;HOLANDA;FRANCIA;0;1;FRANCIA
TI;98;USA-PORTUGAL;USA;PORTUGAL;0;2;PORTUGAL
TI;99;BRASIL-INGLATERRA;BRASIL;INGLATERRA;1;2;INGLATERRA
TI;100;COLOMBIA-ARGENTINA;COLOMBIA;ARGENTINA;0;2;ARGENTINA
TI;101;FRANCIA-PORTUGAL;FRANCIA;PORTUGAL;2;1;FRANCIA
TI;102;INGLATERRA-ARGENTINA;INGLATERRA;ARGENTINA;1;2;ARGENTINA
TI;103;PORTUGAL-INGLATERRA;PORTUGAL;INGLATERRA;0;1;INGLATERRA
TI;104;FRANCIA-ARGENTINA;FRANCIA;ARGENTINA;3;0;FRANCIA
ML;74;ALEMANIA-PARAGUAY;ALEMANIA;PARAGUAY;3;0;ALEMANIA
ML;75;HOLANDA-MARRUECOS;HOLANDA;MARRUECOS;3;2;HOLANDA
ML;76;BRASIL-JAPÓN;BRASIL;JAPÓN;4;2;BRASIL
ML;77;FRANCIA-SUECIA;FRANCIA;SUECIA;4;1;FRANCIA
ML;78;COSTA DE M-NORUEGA;COSTA DE M;NORUEGA;0;2;NORUEGA
ML;79;MÉXICO-ECUADOR;MÉXICO;ECUADOR;2;1;MÉXICO
ML;80;INGLATERRA-RD CONGO;INGLATERRA;RD CONGO;2;0;INGLATERRA
ML;81;USA-BOS Y HERZ;USA;BOS Y HERZ;2;0;USA
ML;82;BÉLGICA-SENEGAL;BÉLGICA;SENEGAL;1;2;SENEGAL
ML;83;PORTUGAL-CROACIA;PORTUGAL;CROACIA;1;0;PORTUGAL
ML;84;ESPAÑA-AUSTRIA;ESPAÑA;AUSTRIA;3;0;ESPAÑA
ML;85;SUIZA-ARGELIA;SUIZA;ARGELIA;1;0;SUIZA
ML;86;ARGENTINA-CABO VERDE;ARGENTINA;CABO VERDE;4;1;ARGENTINA
ML;87;COLOMBIA-GHANA;COLOMBIA;GHANA;3;0;COLOMBIA
ML;88;AUSTRALIA-EGIPTO;AUSTRALIA;EGIPTO;1;0;AUSTRALIA
ML;89;ALEMANIA-FRANCIA;ALEMANIA;FRANCIA;1;2;FRANCIA
ML;90;SIN EQUPO-HOLANDA;SIN EQUPO;HOLANDA;0;3;HOLANDA
ML;91;BRASIL-NORUEGA;BRASIL;NORUEGA;2;0;BRASIL
ML;92;MÉXICO-INGLATERRA;MÉXICO;INGLATERRA;1;2;INGLATERRA
ML;93;ESPAÑA-PORTUGAL;ESPAÑA;PORTUGAL;3;2;ESPAÑA
ML;94;SENEGAL-USA;SENEGAL;USA;1;2;USA
ML;95;AUSTRALIA-ARGENTINA;AUSTRALIA;ARGENTINA;0;4;ARGENTINA
ML;96;SUIZA-COLOMBIA;SUIZA;COLOMBIA;1;2;COLOMBIA
ML;97;HOLANDA-FRANCIA;HOLANDA;FRANCIA;1;2;FRANCIA
ML;98;ESPAÑA-USA;ESPAÑA;USA;3;0;ESPAÑA
ML;99;BRASIL-INGLATERRA;BRASIL;INGLATERRA;2;1;BRASIL
ML;100;ARGENTINA-COLOMBIA;ARGENTINA;COLOMBIA;2;1;ARGENTINA
ML;101;FRANCIA-ESPAÑA;FRANCIA;ESPAÑA;2;0;FRANCIA
ML;102;BRASIL-ARGENTINA;BRASIL;ARGENTINA;1;2;ARGENTINA
ML;103;BRASIL-ESPAÑA;BRASIL;ESPAÑA;3;1;BRASIL
ML;104;ARGENTINA-FRANCIA;ARGENTINA;FRANCIA;3;2;ARGENTINA
